title,price_text,bedrooms,area_sqft,price_inr,area,price_per_sqft,estimated_rent_monthly,estimated_rent_annual,rental_yield,investment_score
"2 BHK FlatinDaryaGanj, Delhi",₹54.95 Lac,2 BHK,800 sqft,5495000.0,800.0,6868.75,28000.0,336000.0,6.114649681528663,19.12042162082968
"2 BHK Independent Builder FloorinDaryaGanj, Delhi",₹90 Lac,2 BHK,"1,100 sqft",9000000.0,1100.0,8181.818181818182,38500.0,462000.0,5.133333333333334,16.05185951209792
"2 BHK FlatinDaryaGanj, Delhi",₹90 Lac,2 BHK,950 sqft,9000000.0,950.0,9473.684210526315,33250.0,399000.0,4.433333333333334,13.862969578630022
"3 BHK Independent Builder FloorinDaryaGanj, Delhi",₹1.85 Cr,3 BHK,"1,700 sqft",18500000.0,1700.0,10882.35294117647,59500.0,714000.0,3.859459459459459,12.068474227768952
"3 BHK Independent Builder FloorinDaryaGanj, Delhi",₹1.85 Cr,3 BHK,"1,700 sqft",18500000.0,1700.0,10882.35294117647,59500.0,714000.0,3.859459459459459,12.068474227768952
"2 BHK FlatinDaryaGanj, Delhi",₹1.1 Cr,2 BHK,990 sqft,11000000.0,990.0,11111.111111111111,34650.0,415800.0,3.7800000000000002,11.820005640726649
"1 BHK FlatinDaryaGanj, Delhi",₹64.5 Lac,1 BHK,559 sqft,6450000.0,559.0,11538.461538461539,19565.0,234780.0,3.64,11.382227654033068
"4 BHK Independent Builder FloorinBengali Market, Delhi",₹3 Cr,4 BHK,"1,890 sqft",30000000.0,1890.0,15873.015873015873,66150.0,793800.0,2.646,8.274003948508653
"2 BHK Independent Builder FloorinDaryaGanj, Delhi",₹6 Cr,2 BHK,"2,362 sqft",60000000.0,2362.0,25402.20152413209,82670.0,992040.0,1.6534,5.170158022851175
"3 BHK Independent Builder FloorinDaryaGanj, Delhi",₹6 Cr,3 BHK,"2,362 sqft",60000000.0,2362.0,25402.20152413209,82670.0,992040.0,1.6534,5.170158022851175
"4 BHK Independent Builder FloorinDefence Colony, South Delhi",₹7.5 Cr,4 BHK,"2,925 sqft",75000000.0,2925.0,25641.02564102564,102375.0,1228500.0,1.638,5.122002444314882
"3 BHK Independent Builder FloorinDefence Colony, South Delhi",₹9.5 Cr,3 BHK,"2,925 sqft",95000000.0,2925.0,32478.63247863248,102375.0,1228500.0,1.293157894736842,4.043686140248591
"1 BHK FlatinDefence Colony, South Delhi",₹10.5 Cr,1 BHK,"2,925 sqft",105000000.0,2925.0,35897.4358974359,102375.0,1228500.0,1.17,3.658573174510629
"3 BHK Independent Builder FloorinDefence Colony, South Delhi",₹7.1 Cr,3 BHK,"1,953 sqft",71000000.0,1953.0,36354.32667690732,68355.0,820260.0,1.1552957746478874,3.612593273292511
"3 BHK FlatinMandi House, Delhi",₹7 Cr,3 BHK,"1,900 sqft",70000000.0,1900.0,36842.10526315789,66500.0,798000.0,1.1400000000000001,3.564763605933434
"4 BHK Independent Builder FloorinDefence Colony, South Delhi",₹13.5 Cr,4 BHK,"3,240 sqft",135000000.0,3240.0,41666.666666666664,113400.0,1360800.0,1.008,3.1520015041937732
"4 BHK Independent Builder FloorinDefence Colony, South Delhi",₹15.85 Cr,4 BHK,"3,800 sqft",158500000.0,3800.0,41710.52631578947,133000.0,1596000.0,1.0069400630914827,3.1486870967235374
"3 BHK Independent Builder FloorinDefence Colony, South Delhi",₹12.4 Cr,3 BHK,"2,925 sqft",124000000.0,2925.0,42393.16239316239,102375.0,1228500.0,0.9907258064516129,3.097985349384001
"3 BHK Independent Builder FloorinDefence Colony, South Delhi",₹7 Cr,3 BHK,"1,601 sqft",70000000.0,1601.0,43722.67332916927,56035.0,672420.0,0.9606,3.003782385841804
"3 BHK FlatinPrithviraj Road, Delhi",₹8 Cr,3 BHK,"1,800 sqft",80000000.0,1800.0,44444.444444444445,63000.0,756000.0,0.9450000000000001,2.955001410181662
"3 BHK Independent Builder FloorinDefence Colony, South Delhi",₹8.25 Cr,3 BHK,"1,800 sqft",82500000.0,1800.0,45833.333333333336,63000.0,756000.0,0.9163636363636364,2.86545591290343
"2 BHK FlatinBengali Market, Delhi",₹3.5 Cr,2 BHK,730 sqft,35000000.0,730.0,47945.20547945205,25550.0,306600.0,0.876,2.7392394024541122
"3 BHK Independent Builder FloorinDefence Colony, South Delhi",₹14.5 Cr,3 BHK,"2,925 sqft",145000000.0,2925.0,49572.64957264957,102375.0,1228500.0,0.8472413793103449,2.649311609128387
"3 BHK FlatinDefence Colony, South Delhi",₹11 Cr,3 BHK,"2,000 sqft",110000000.0,2000.0,55000.0,70000.0,840000.0,0.7636363636363637,2.387879927419525
"3 BHK Independent Builder FloorinDefence Colony, South Delhi",₹18 Cr,3 BHK,"2,925 sqft",180000000.0,2925.0,61538.46153846154,102375.0,1228500.0,0.6825,2.1341676851312004
"9 Bedroom HouseinDaryaGanj, Delhi",₹12 Cr,9 BHK,"1,800 sqft",120000000.0,1800.0,66666.66666666667,63000.0,756000.0,0.63,1.9700009401211083
"3 BHK Independent Builder FloorinMalcha Marg, Delhi",₹27 Cr,3 BHK,"3,375 sqft",270000000.0,3375.0,80000.0,118125.0,1417500.0,0.525,1.6416674501009236
"7 Bedroom Housein Ferozshah Road, Delhi",₹290 Cr,7 BHK,"34,200 sqft",2900000000.0,34200.0,84795.3216374269,1197000.0,14364000.0,0.49531034482758624,1.5488283253365958
"3 BHK FlatinGole Market, Delhi",₹15 Cr,3 BHK,"1,500 sqft",150000000.0,1500.0,100000.0,52500.0,630000.0,0.42,1.3133339600807388
"3 BHK FlatinDaryaGanj, Delhi",₹1.8 Cr,3 BHK,170 sqft,18000000.0,170.0,105882.35294117648,5950.0,71400.0,0.3966666666666667,1.2403709622984755
